component_id,weight
C-0001,0.013
C-0002,0.005
C-0003,0.014
C-0004,0.014
C-0005,0.206
C-0006,0.083
C-0007,0.028
C-0008,0.032
C-0009,0.033
C-0010,0.01
C-0011,0.012
C-0012,0.788
C-0013,8.89
C-0014,0.339
C-0015,0.788
C-0016,1.172
C-0017,1.245
C-0018,1.863
C-0019,1.533
C-0020,0.07
C-0021,0.903
C-0022,0.103
C-0023,1.297
C-0024,0.509
C-0025,0.15
C-0026,0.032
C-0027,2.23
C-0028,1.633
C-0029,0.286
C-0030,0.914
C-0031,0.038
C-0032,4.485
C-0033,1.662
C-0034,0.424
C-0035,0.009
C-0036,1.85
C-0037,0.081
C-0038,0.169
C-0039,1.953
C-0040,1.693
C-0041,0.12
C-0042,0.357
C-0043,0.09
C-0044,0.182
C-0045,0.215
C-0046,0.38
C-0047,0.233
C-0048,0.006
C-0049,0.012
C-0050,0.015
C-0051,0.033
C-0052,0.041
C-0053,0.079
C-0054,0.18
C-0055,0.002
C-0056,0.004
C-0057,0.035
C-0058,0.006
C-0059,0.015
C-0060,0.042
C-0061,0.2
C-0062,1.85
C-0063,0.227
C-0064,0.952
C-0065,0.561
C-0066,0.614
C-0067,0.265
C-0068,NA
C-0069,0.216
C-0070,0.178
C-0071,0.08
C-0072,0.29
C-0073,0.537
C-0074,0.134
C-0075,1.09
C-0076,1.494
C-0077,0.066
C-0078,0.07
C-0079,3.09
C-0080,0.434
C-0081,0.02
C-0082,0.043
C-0083,2.093
C-0084,2.601
C-0085,0.079
C-0086,0.65
C-0087,7.26
C-0088,6.35
C-0089,0.06
C-0090,1.159
C-0091,0.164
C-0092,0.09
C-0093,0.332
C-0094,0.61
C-0095,0.046
C-0096,0.006
C-0097,0.027
C-0098,0.236
C-0099,0.219
C-0100,3.289
C-0101,0.01
C-0102,0.027
C-0103,1.457
C-0104,1.496
C-0105,9.6
C-0106,9.6
C-0107,0.682
C-0108,0.13
C-0109,0.063
C-0110,1.097
C-0111,0.1
C-0112,0.901
C-0113,3.416
C-0114,2.927
C-0115,0.43
C-0116,0.1
C-0117,0.081
C-0118,NA
C-0119,0.205
C-0120,0.029
C-0121,0.227
C-0122,0.08
C-0123,0.566
C-0124,0.143
C-0125,0.165
C-0126,0.162
C-0127,0.166
C-0128,0.158
C-0129,NA
C-0130,0.49
C-0131,0.825
C-0132,0.25
C-0133,0.142
C-0134,0.016
C-0135,1.5
C-0136,NA
C-0137,0.5
C-0138,0.56
C-0139,1.548
C-0140,0.28
C-0141,0.336
C-0142,0.19
C-0143,9.5
C-0144,0.061
C-0145,0.117
C-0146,0.127
C-0147,1.3
C-0148,0.375
C-0149,0.084
C-0150,0.105
C-0151,0.047
C-0152,4.987
C-0153,1.161
C-0154,0.972
C-0155,0.098
C-0156,1.251
C-0157,0.801
C-0158,0.097
C-0159,0.667
C-0160,1.004
C-0161,0.559
C-0162,2.725
C-0163,1.415
C-0164,0.179
C-0165,0.046
C-0166,0.11
C-0167,0.27
C-0168,0.418
C-0169,9.805
C-0170,0.09
C-0171,0.234
C-0172,0.191
C-0173,0.14
C-0174,2.07
C-0175,1.347
C-0176,0.476
C-0177,0.122
C-0178,0.511
C-0179,0.104
C-0180,0.144
C-0181,0.218
C-0182,0.269
C-0183,0.795
C-0184,0.323
C-0185,0.064
C-0186,0.024
C-0187,1.17
C-0188,1.5
C-0189,0.07
C-0190,1.035
C-0191,0.407
C-0192,1.433
C-0193,0.625
C-0194,4.1
C-0195,3
C-0196,5.7
C-0197,3.81
C-0198,2.82
C-0199,0.1
C-0200,0.223
C-0201,0.36
C-0202,0.278
C-0203,0.295
C-0204,0.088
C-0205,0.807
C-0206,1.603
C-0207,1.304
C-0208,0.023
C-0209,0.022
C-0210,0.211
C-0211,0.243
C-0212,0.633
C-0213,0.159
C-0214,0.059
C-0215,0.033
C-0216,0.034
C-0217,0.054
C-0218,0.082
C-0219,1.171
C-0220,0.97
C-0221,0.795
C-0222,9.456
C-0223,0.56
C-0224,0.28
C-0225,0.07
C-0226,0.06
C-0227,0.07
C-0228,0.06
C-0229,0.18
C-0230,0.216
C-0231,0.23
C-0232,0.073
C-0233,0.163
C-0234,0.15
C-0235,4.337
C-0236,0.036
C-0237,0.172
C-0238,1.121
C-0239,0.852
C-0240,0.195
C-0241,0.118
C-0242,0.08
C-0243,4.034
C-0244,2.127
C-0245,0.1
C-0246,0.08
C-0247,2.25
C-0248,0.248
C-0249,0.229
C-0250,2.46
C-0251,0.041
C-0252,0.025
C-0253,0.2
C-0254,0.486
C-0255,0.127
C-0256,0.597
C-0257,1.63
C-0258,0.192
C-0259,1.836
C-0260,0.186
C-0261,0.153
C-0262,0.158
C-0263,0.525
C-0264,0.525
C-0265,4.59
C-0266,4.308
C-0267,0.13
C-0268,2.91
C-0269,3.361
C-0270,0.037
C-0271,1.526
C-0272,0.104
C-0273,1.181
C-0274,0.378
C-0275,3.268
C-0276,4.59
C-0277,3.5
C-0278,0.015
C-0279,0.908
C-0280,0.614
C-0281,0.118
C-0282,NA
C-0283,0.108
C-0284,2.258
C-0285,5.307
C-0286,0.006
C-0287,0.01
C-0288,0.007
C-0289,1.12
C-0290,0.408
C-0291,0.559
C-0292,0.115
C-0293,0.15
C-0294,0.444
C-0295,0.53
C-0296,2.189
C-0297,1.165
C-0298,0.096
C-0299,0.331
C-0300,0.068
C-0301,1.64
C-0302,0.015
C-0303,2.179
C-0304,1.035
C-0305,0.459
C-0306,1.062
C-0307,1.05
C-0308,0.037
C-0309,0.001
C-0310,0.283
C-0311,0.578
C-0312,0.368
C-0313,1.169
C-0314,0.25
C-0315,0.203
C-0316,0.792
C-0317,0.776
C-0318,0.038
C-0319,0.778
C-0320,0.639
C-0321,0.02
C-0322,0.178
C-0323,1.6
C-0324,0.319
C-0325,1.44
C-0326,0.336
C-0327,7.304
C-0328,0.679
C-0329,6.8
C-0330,1
C-0331,6.245
C-0332,0.008
C-0333,0.136
C-0334,0.104
C-0335,0.09
C-0336,0.045
C-0337,0.022
C-0338,0.29
C-0339,0.32
C-0340,0.29
C-0341,0.067
C-0342,1.589
C-0343,0.813
C-0344,1.297
C-0345,0.04
C-0346,0.04
C-0347,0.002
C-0348,0.045
C-0349,2
C-0350,1
C-0351,2.16
C-0352,0.39
C-0353,0.326
C-0354,0.136
C-0355,1.2
C-0356,0.12
C-0357,0.55
C-0358,0.154
C-0359,1.044
C-0360,1.325
C-0361,0.005
C-0362,0.32
C-0363,0.175
C-0364,0.147
C-0365,0.125
C-0366,0.112
C-0367,1.093
C-0368,0.442
C-0369,0.253
C-0370,0.596
C-0371,0.842
C-0372,0.049
C-0373,0.105
C-0374,0.735
C-0375,0.019
C-0376,0.124
C-0377,0.064
C-0378,0.094
C-0379,3.7
C-0380,0.928
C-0381,3.855
C-0382,0.186
C-0383,2.892
C-0384,7.207
C-0385,0.732
C-0386,0.543
C-0387,0.939
C-0388,0.078
C-0389,0.15
C-0390,0.034
C-0391,0.009
C-0392,0.14
C-0393,0.06
C-0394,2.46
C-0395,0.05
C-0396,0.352
C-0397,0.004
C-0398,0.078
C-0399,0.169
C-0400,1.547
C-0401,1.095
C-0402,2.022
C-0403,2.59
C-0404,10.56
C-0405,0.05
C-0406,2.199
C-0407,2.38
C-0408,2.26
C-0409,0.15
C-0410,0.11
C-0411,0.034
C-0412,0.002
C-0413,0.04
C-0414,0.04
C-0415,0.05
C-0416,0.06
C-0417,0.231
C-0418,0.078
C-0419,0.231
C-0420,0.078
C-0421,0.288
C-0422,0.003
C-0423,0.16
C-0424,0.009
C-0425,0.005
C-0426,0.023
C-0427,0.001
C-0428,0.032
C-0429,0.015
C-0430,0.222
C-0431,0.21
C-0432,0.063
C-0433,NA
C-0434,0.191
C-0435,0.5
C-0436,0.5
C-0437,NA
C-0438,NA
C-0439,NA
C-0440,1.134
C-0441,NA
C-0442,0.395
C-0443,NA
C-0444,0.111
C-0445,0.02
C-0446,0.408
C-0447,0.232
C-0448,0.032
C-0449,0.006
C-0450,0.496
C-0451,0.693
C-0452,0.94
C-0453,1.094
C-0454,0.59
C-0455,0.525
C-0456,0.175
C-0457,0.14
C-0458,0.158
C-0459,0.175
C-0460,0.21
C-0461,0.403
C-0462,0.28
C-0463,0.613
C-0464,2.041
C-0465,1.347
C-0466,0.482
C-0467,0.01
C-0468,0.09
C-0469,0.068
C-0470,3.859
C-0471,NA
C-0472,7.5
C-0473,0.084
C-0474,0.054
C-0475,0.05
C-0476,0.599
C-0477,0.045
C-0478,0.05
C-0479,0.06
C-0480,NA
C-0481,NA
C-0482,NA
C-0483,0.08
C-0484,0.502
C-0485,0.32
C-0486,0.114
C-0487,0.669
C-0488,0.702
C-0489,0.91
C-0490,0.026
C-0491,0.127
C-0492,0.154
C-0493,0.015
C-0494,0.23
C-0495,0.083
C-0496,0.284
C-0497,0.052
C-0498,0.172
C-0499,0.082
C-0500,0.207
C-0501,3.655
C-0502,0.269
C-0503,0.525
C-0504,0.112
C-0505,0.539
C-0506,0.093
C-0507,NA
C-0508,1.144
C-0509,0.345
C-0510,0.3
C-0511,0.225
C-0512,0.18
C-0513,2.14
C-0514,NA
C-0515,0.019
C-0516,1.015
C-0517,0.031
C-0518,0.04
C-0519,0.077
C-0520,0.021
C-0521,0.663
C-0522,0.022
C-0523,NA
C-0524,0.36
C-0525,2
C-0526,0.544
C-0527,1.903
C-0528,0.03
C-0529,0.19
C-0530,0.04
C-0531,0.096
C-0532,0.229
C-0533,0.026
C-0534,0.217
C-0535,0.181
C-0536,0.16
C-0537,0.42
C-0538,0.91
C-0539,0.003
C-0540,0.251
C-0541,0.512
C-0542,0.756
C-0543,0.224
C-0544,0.129
C-0545,0.057
C-0546,1.201
C-0547,0.012
C-0548,0.059
C-0549,0.059
C-0550,0.404
C-0551,0.442
C-0552,0.177
C-0553,5.724
C-0554,2.377
C-0555,1.612
C-0556,0.059
C-0557,1.178
C-0558,0.171
C-0559,0.034
C-0560,0.082
C-0561,1.044
C-0562,0.173
C-0563,0.406
C-0564,4.312
C-0565,1.05
C-0566,1.4
C-0567,1.52
C-0568,1.469
C-0569,0.037
C-0570,0.008
C-0571,0.896
C-0572,0.447
C-0573,0.192
C-0574,0.423
C-0575,0.075
C-0576,0.019
C-0577,0.157
C-0578,0.025
C-0579,0.157
C-0580,0.109
C-0581,0.123
C-0582,0.196
C-0583,0.101
C-0584,0.712
C-0585,0.551
C-0586,0.614
C-0587,3.207
C-0588,0.62
C-0589,0.157
C-0590,0.279
C-0591,0.161
C-0592,1.218
C-0593,0.372
C-0594,0.458
C-0595,0.93
C-0596,0.055
C-0597,0.206
C-0598,0.687
C-0599,0.447
C-0600,0.529
C-0601,0.424
C-0602,0.752
C-0603,0.33
C-0604,0.204
C-0605,0.358
C-0606,0.129
C-0607,0.5
C-0608,2.22
C-0609,0.101
C-0610,0.516
C-0611,0.851
C-0612,4.076
C-0613,2.46
C-0614,0.599
C-0615,0.712
C-0616,0.699
C-0617,0.17
C-0618,0.955
C-0619,1.455
C-0620,0.023
C-0621,0.56
C-0622,0.435
C-0623,0.021
C-0624,0.06
C-0625,1.845
C-0626,0.15
C-0627,0.294
C-0628,0.5
C-0629,0.21
C-0630,0.177
C-0631,2.481
C-0632,1.368
C-0633,0.107
C-0634,0.236
C-0635,9.57
C-0636,0.094
C-0637,3.225
C-0638,0.401
C-0639,0.927
C-0640,0.123
C-0641,0.304
C-0642,0.846
C-0643,3.361
C-0644,0.117
C-0645,0.226
C-0646,10.19
C-0647,0.922
C-0648,0.552
C-0649,1.349
C-0650,0.413
C-0651,0.968
C-0652,0.955
C-0653,0.061
C-0654,0.663
C-0655,0.162
C-0656,0.068
C-0657,0.182
C-0658,0.17
C-0659,0.441
C-0660,0.567
C-0661,0.024
C-0662,0.102
C-0663,3.771
C-0664,0.619
C-0665,1.225
C-0666,2.716
C-0667,NA
C-0668,1.028
C-0669,0.369
C-0670,0.208
C-0671,0.194
C-0672,0.277
C-0673,0.844
C-0674,0.324
C-0675,0.323
C-0676,0.56
C-0677,0.156
C-0678,0.112
C-0679,0.474
C-0680,1.265
C-0681,0.096
C-0682,1.258
C-0683,0.134
C-0684,0.009
C-0685,0.167
C-0686,0.119
C-0687,6.804
C-0688,2.651
C-0689,2.053
C-0690,0.692
C-0691,0.273
C-0692,0.109
C-0693,0.189
C-0694,0.799
C-0695,2.977
C-0696,0.176
C-0697,0.014
C-0698,0.229
C-0699,0.044
C-0700,0.265
C-0701,0.194
C-0702,0.497
C-0703,0.15
C-0704,0.28
C-0705,0.2
C-0706,1.403
C-0707,5.542
C-0708,0.815
C-0709,0.085
C-0710,1.303
C-0711,0.493
C-0712,0.184
C-0713,0.222
C-0714,0.915
C-0715,0.131
C-0716,2.259
C-0717,0.34
C-0718,0.021
C-0719,0.125
C-0720,0.222
C-0721,2.719
C-0722,0.72
C-0723,0.076
C-0724,0.32
C-0725,0.013
C-0726,1.327
C-0727,2.839
C-0728,1.009
C-0729,0.631
C-0730,0.363
C-0731,1.722
C-0732,0.256
C-0733,NA
C-0734,1.26
C-0735,0.004
C-0736,1.519
C-0737,3
C-0738,0.442
C-0739,0.258
C-0740,0.123
C-0741,0.14
C-0742,0.243
C-0743,0.063
C-0744,0.195
C-0745,0.254
C-0746,0.24
C-0747,0.224
C-0748,0.187
C-0749,0.106
C-0750,0.191
C-0751,0.68
C-0752,0.941
C-0753,0.282
C-0754,0.417
C-0755,2.62
C-0756,0.689
C-0757,0.25
C-0758,2.011
C-0759,0.022
C-0760,0.009
C-0761,1.372
C-0762,0.453
C-0763,6.679
C-0764,1.42
C-0765,0.323
C-0766,0.432
C-0767,0.224
C-0768,0.539
C-0769,0.138
C-0770,0.987
C-0771,1.086
C-0772,1.938
C-0773,2.316
C-0774,0.062
C-0775,0.111
C-0776,0.178
C-0777,0.685
C-0778,0.265
C-0779,0.37
C-0780,0.577
C-0781,2.254
C-0782,0.788
C-0783,1.303
C-0784,0.1
C-0785,0.277
C-0786,7.352
C-0787,0.07
C-0788,4.134
C-0789,2.319
C-0790,0.68
C-0791,0.034
C-0792,2.52
C-0793,3.815
C-0794,12.03
C-0795,0.68
C-0796,0.987
C-0797,1.983
C-0798,0.198
C-0799,1.343
C-0800,0.024
C-0801,0.122
C-0802,1.418
C-0803,0.463
C-0804,2.805
C-0805,1.125
C-0806,1.007
C-0807,0.646
C-0808,1.545
C-0809,0.062
C-0810,2.532
C-0811,NA
C-0812,0.85
C-0813,0.001
C-0814,NA
C-0815,NA
C-0816,0.071
C-0817,0.069
C-0818,0.081
C-0819,0.272
C-0820,1.95
C-0821,1.982
C-0822,0.7
C-0823,0.014
C-0824,0.045
C-0825,0.151
C-0826,0.182
C-0827,0.03
C-0828,0.036
C-0829,0.32
C-0830,0.027
C-0831,0.255
C-0832,0.681
C-0833,0.136
C-0834,NA
C-0835,0.226
C-0836,NA
C-0837,0.059
C-0838,0.04
C-0839,1.648
C-0840,2.447
C-0841,0.725
C-0842,NA
C-0843,0.11
C-0844,0.145
C-0845,4.812
C-0846,0.4
C-0847,NA
C-0848,1.361
C-0849,0.237
C-0850,0.7
C-0851,1.8
C-0852,0.047
C-0853,0.509
C-0854,0.041
C-0855,0.002
C-0856,0.068
C-0857,0.396
C-0858,0.983
C-0859,1.782
C-0860,0.018
C-0861,0.005
C-0862,0.278
C-0863,2.178
C-0864,0.018
C-0865,0.019
C-0866,0.019
C-0867,0.025
C-0868,0.022
C-0869,1.112
C-0870,1.232
C-0871,0.566
C-0872,0.01
C-0873,0.01
C-0874,0.001
C-0875,0.765
C-0876,7.92
C-0877,0.01
C-0878,0.025
C-0879,0.117
C-0880,4.378
C-0881,3.713
C-0882,1.05
C-0883,0.08
C-0884,0.033
C-0885,1.23
C-0886,1.09
C-0887,0.9
C-0888,0.785
C-0889,0.016
C-0890,0.41
C-0891,0.465
C-0892,0.055
C-0893,0.31
C-0894,0.156
C-0895,0.397
C-0896,0.028
C-0897,0.241
C-0898,0.005
C-0899,0.426
C-0900,0.456
C-0901,0.015
C-0902,5.457
C-0903,0.528
C-0904,0.668
C-0905,0.21
C-0906,0.087
C-0907,0.02
C-0908,0.16
C-0909,0.034
C-0910,2.543
C-0911,0.201
C-0912,0.458
C-0913,0.1
C-0914,0.101
C-0915,0.006
C-0916,2.74
C-0917,0.286
C-0918,0.53
C-0919,NA
C-0920,0.077
C-0921,0.111
C-0922,0.003
C-0923,0.102
C-0924,0.102
C-0925,0.018
C-0926,0.18
C-0927,0.765
C-0928,0.048
C-0929,0.019
C-0930,0.122
C-0931,5.202
C-0932,0.079
C-0933,1.207
C-0934,0.701
C-0935,0.015
C-0936,0.015
C-0937,0.134
C-0938,0.351
C-0939,0.77
C-0940,0.851
C-0941,0.81
C-0942,0.665
C-0943,1.156
C-0944,0.493
C-0945,0.225
C-0946,1.022
C-0947,0.204
C-0948,0.284
C-0949,0.176
C-0950,0.306
C-0951,0.203
C-0952,0.213
C-0953,0.144
C-0954,0.567
C-0955,0.623
C-0956,0.695
C-0957,0.127
C-0958,0.095
C-0959,0.748
C-0960,0.691
C-0961,0.412
C-0962,0.55
C-0963,0.755
C-0964,0.065
C-0965,0.5
C-0966,1.535
C-0967,1.138
C-0968,6.596
C-0969,0.284
C-0970,0.001
C-0971,0.545
C-0972,1.14
C-0973,0.095
C-0974,1.17
C-0975,0.18
C-0976,0.963
C-0977,0.288
C-0978,1.98
C-0979,0.104
C-0980,0.841
C-0981,0.524
C-0982,0.577
C-0983,4.405
C-0984,4.427
C-0985,2.227
C-0986,0.3
C-0987,0.48
C-0988,0.355
C-0989,4.073
C-0990,1.75
C-0991,0.813
C-0992,1.05
C-0993,0.499
C-0994,0.877
C-0995,1.253
C-0996,1.074
C-0997,5.098
C-0998,6.195
C-0999,1.356
C-1000,0.293
C-1001,0.263
C-1002,0.266
C-1003,NA
C-1004,0.7
C-1005,1.184
C-1006,2.394
C-1007,0.432
C-1008,0.329
C-1009,1.5
C-1010,0.333
C-1011,1.607
C-1012,0.286
C-1013,0.364
C-1014,1.352
C-1015,0.666
C-1016,0.298
C-1017,0.028
C-1018,0.074
C-1019,0.005
C-1020,2.415
C-1021,0.086
C-1022,0.008
